threshold,sample_rate,case,max_probability,active_occupancy_pct,event_count,max_active_duration_ms,first_onset_latency_ms,detected
0.58,48000,bright_vowel,0.07968282173840971,0.0,0,0.0,,False
0.58,48000,air,0.09506405721018914,0.0,0,0.0,,False
0.58,48000,breath,0.5094946951819403,0.0,0,0.0,,False
0.58,48000,falsetto,0.07898749407222147,0.0,0,0.0,,False
0.58,48000,female_upper,0.04924506076685707,0.0,0,0.0,,False
0.58,48000,distorted_vocal,0.03068265175229239,0.0,0,0.0,,False
0.58,96000,s,0.7931994639268022,11.907407407407407,1,107.16666666666667,4.239583333333297,True
0.58,96000,sh,0.6580518224637841,11.805555555555555,1,106.25,5.322916666666677,True
0.58,96000,ch,0.6657199855538517,6.555555555555555,1,59.0,2.4062499999999987,True
0.58,96000,t,0.7859188901588698,4.833333333333333,1,43.5,0.9895833333333215,True
0.58,96000,bright_vowel,0.09110201481072658,0.0,0,0.0,,False
0.58,96000,air,0.11112842897659615,0.0,0,0.0,,False
0.58,96000,breath,0.5540778456654741,0.0,0,0.0,,False
0.58,96000,falsetto,0.08783006052136838,0.0,0,0.0,,False
0.58,96000,female_upper,0.05477402153214759,0.0,0,0.0,,False
0.58,96000,distorted_vocal,0.06116597813514833,0.0,0,0.0,,False
