sample_rate,cutoff_hz,case,event_max,body_mean,whole_mean
96000,70,male_low,3.1882476227903602,3.2322158896491984,3.139143391673972
96000,70,female,3.2941140924128844,3.3238624862726973,3.250274347708978
96000,70,rumble,3.195308259205132,3.2452404008897133,3.1532478950185188
96000,70,proximity,3.813757281290377,3.8589511058563883,3.760605829372904
96000,70,plosive,3.8797848063645075,3.2323269020701413,3.2856942978482713
96000,70,consonant,4.0778377610713,3.232352690967699,3.300161167483389
96000,70,sibilant,4.392131625065647,3.232582036990695,3.3511219358786404
96000,80,male_low,3.053535899774023,3.099153083278451,3.0066073109163822
96000,80,female,3.3036835488921503,3.3419655096348375,3.265465836122983
96000,80,rumble,3.0541824438130285,3.107398317949648,3.0155797862588267
96000,80,proximity,3.672028413740823,3.725216101983054,3.6266311621085134
96000,80,plosive,3.505196475309356,3.0992390198178787,3.131277108351699
96000,80,consonant,4.044096022015054,3.0993037198272915,3.177134396212824
96000,80,sibilant,4.343933416169514,3.0995470077512834,3.2302600977290896
96000,100,male_low,2.7235570269637903,2.769741288548066,2.682602569764004
96000,100,female,3.319034357866069,3.3665273167366627,3.2850766153970063
96000,100,rumble,2.7215516702722686,2.7738341645687625,2.6869913270498604
96000,100,proximity,3.361830419505581,3.4193142745076615,3.3233067246088535
96000,100,plosive,2.8949478315777033,2.7698048371760065,2.777421565728965
96000,100,consonant,3.985687983863664,2.769946317016854,2.8763009936560486
96000,100,sibilant,4.246246268444098,2.7702571397227116,2.935496457477872
