file,singer,stress,clean_mean_delta_db,clean_p95_delta_db,clean_ripple_delta_db,stress_reduction,solver_residual_db
m3:m3_arpeggios_belt_a.wav,m3,plosive,-0.003062555944905565,-0.0008515999394189677,-0.00012256512778171733,0.20993703926128893,1.9035438416636907e-06
m3:m3_arpeggios_breathy_a.wav,m3,rumble_-12,0.006903043001067477,0.003951351794219349,7.157424089729303e-07,0.7490531067981039,4.527303406387517e-06
m3:m3_arpeggios_breathy_a.wav,m3,rumble_-6,0.006903043001067477,0.003951351794219349,7.157424089729303e-07,0.7282327102388284,4.527303406387517e-06
m3:m3_arpeggios_breathy_a.wav,m3,plosive,0.006903043001067477,0.003951351794219349,7.157424089729303e-07,0.20654045080352768,4.527303406387517e-06
m4:m4_arpeggios_belt_a.wav,m4,rumble_-12,0.0011925733562425656,-0.0022703173139078103,5.2041441814597994e-05,0.7515469819238119,1.9383144835849464e-06
m4:m4_arpeggios_belt_a.wav,m4,rumble_-6,0.0011925733562425656,-0.0022703173139078103,5.2041441814597994e-05,0.721107166738255,1.9383144835849464e-06
m4:m4_arpeggios_belt_a.wav,m4,plosive,0.0011925733562425656,-0.0022703173139078103,5.2041441814597994e-05,0.2146430224958642,1.9383144835849464e-06
m4:m4_arpeggios_breathy_a.wav,m4,rumble_-12,-0.0032047688277256903,-0.004829574877699194,9.468059754949576e-05,0.7486660805267021,5.58192105293287e-06
m4:m4_arpeggios_breathy_a.wav,m4,rumble_-6,-0.0032047688277256903,-0.004829574877699194,9.468059754949576e-05,0.7211702321072173,5.58192105293287e-06
m4:m4_arpeggios_breathy_a.wav,m4,plosive,-0.0032047688277256903,-0.004829574877699194,9.468059754949576e-05,0.17892425420323088,5.58192105293287e-06
